id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews
958,Western Addition,37.76931038,-122.4338563,Entire home/apt,170,213,1,172
5858,Bernal Heights,37.74511233,-122.4210179,Entire home/apt,235,0,30,112
7918,Haight Ashbury,37.7666896,-122.4525046,Private room,65,0,32,17
8142,Haight Ashbury,37.76487219,-122.451828,Private room,65,0,32,8
8339,Western Addition,37.77524859,-122.4363737,Entire home/apt,785,276,7,27
8567,Western Addition,37.78470745,-122.4455543,Entire home/apt,255,206,2,31
8739,Mission,37.7591889,-122.4223669,Private room,139,284,1,631
9225,Potrero Hill,37.76258885,-122.4054306,Private room,135,26,1,434
10251,Mission,37.75874295,-122.413272,Entire home/apt,265,18,3,307
10578,Nob Hill,37.79142746,-122.4154357,Entire home/apt,120,,30,18
10819,Marina,37.80060136,-122.4250454,Entire home/apt,218,,30,22
10820,Haight Ashbury,37.77187372,-122.4385911,Entire home/apt,177,,30,36
10824,Western Addition,37.77355002,-122.4243619,Entire home/apt,194,,30,14
10832,Downtown/Civic Center,37.7857389,-122.4079771,Entire home/apt,139,0,30,18
12041,Haight Ashbury,37.77018946,-122.4459422,Private room,85,0,32,6
12042,Haight Ashbury,37.76894262,-122.4477822,Private room,85,0,32,5
12522,Castro/Upper Market,37.76074548,-122.4303241,Private room,79,325,3,383
12584,Inner Sunset,37.76203102,-122.4545495,Entire home/apt,136,,30,16
14125,Mission,37.7549067,-122.422455,Entire home/apt,215,28,3,97
17132,South of Market,37.78646668,-122.390717,Entire home/apt,450,,35,14
18231,Noe Valley,37.74888371,-122.4298237,Entire home/apt,107,,30,60
18904,Western Addition,37.77252152,-122.4321565,Private room,110,288,3,350
19040,Mission,37.76348967,-122.415174,Entire home/apt,198,,5,226
21334,Nob Hill,37.79579579,-122.4153345,Entire home/apt,125,302,30,118
21914,Haight Ashbury,37.7648003,-122.4525132,Private room,65,0,32,14
23540,Mission,37.75065033,-122.4198382,Entire home/apt,225,57,1,107
23611,Bernal Heights,37.74556319,-122.4120681,Private room,100,12,3,232
23630,Castro/Upper Market,37.75963016,-122.4414323,Entire home/apt,155,,3,340
24390,Mission,37.75145556,-122.4124782,Entire home/apt,95,,30,65
24450,Noe Valley,37.74884818,-122.436726,Entire home/apt,180,,2,213
24463,Potrero Hill,37.75644595,-122.3991023,Private room,155,194,2,266
24685,Haight Ashbury,37.7716176,-122.438362,Private room,79,15,1,177
24723,Western Addition,37.78716465,-122.4338611,Entire home/apt,195,262,5,270
25094,Noe Valley,37.74187613,-122.4312154,Private room,150,2,5,24
25168,Presidio Heights,37.78962992,-122.4487778,Private room,125,,30,16
25463,Western Addition,37.77728949,-122.4342115,Private room,110,293,2,388
25662,Potrero Hill,37.76212202,-122.395409,Private room,125,43,4,295
25927,Western Addition,37.78894736,-122.4303064,Private room,110,0,2,74
26408,Western Addition,37.77477848,-122.4314987,Entire home/apt,393,360,2,29
27025,Castro/Upper Market,37.76297968,-122.4313644,Entire home/apt,175,129,30,129
27028,Mission,37.76097556,-122.4215808,Private room,199,,1,25
29373,Bernal Heights,37.7372901,-122.4116347,Entire home/apt,210,,7,12
29557,Outer Richmond,37.77930832,-122.5051832,Entire home/apt,155,50,2,33
32414,Bernal Heights,37.74025451,-122.4125909,Entire home/apt,150,92,30,93
33577,Potrero Hill,37.76514606,-122.3975009,Entire home/apt,230,62,1,612
33578,Potrero Hill,37.76525619,-122.3973047,Entire home/apt,230,38,1,558
38607,Presidio Heights,37.78197462,-122.4580923,Private room,119,352,2,192
39174,Noe Valley,37.74830167,-122.424885,Entire home/apt,107,0,30,20
39418,Bernal Heights,37.74092695,-122.4205486,Entire home/apt,100,,30,21
40092,Mission,37.76016369,-122.419693,Entire home/apt,117,,30,96
40138,Presidio Heights,37.78254949,-122.4484382,Private room,83,,30,136
41055,Castro/Upper Market,37.76125009,-122.4333547,Entire home/apt,159,361,4,40
41172,Bernal Heights,37.74082734,-122.4176301,Private room,129,17,2,219
41399,Mission,37.75610669,-122.4186619,Entire home/apt,290,,3,71
41423,Glen Park,37.73556832,-122.4330159,Entire home/apt,126,26,30,146
41609,Nob Hill,37.79001329,-122.412916,Entire home/apt,170,175,30,13
42403,Bernal Heights,37.7335583,-122.4185132,Entire home/apt,85,9,30,6
42408,Bernal Heights,37.7340436,-122.4178129,Entire home/apt,85,0,30,4
42454,Mission,37.75117094,-122.4132586,Entire home/apt,91,,30,9
42577,Potrero Hill,37.75447178,-122.3881318,Entire home/apt,150,0,30,2
43732,Twin Peaks,37.75191264,-122.4438536,Entire home/apt,120,0,30,5
43778,Haight Ashbury,37.7727162,-122.4408369,Entire home/apt,120,3,30,8
44032,Mission,37.75145024,-122.4120698,Entire home/apt,95,,30,279
44680,Mission,37.75120853,-122.421645,Entire home/apt,175,,31,3
45299,Castro/Upper Market,37.76068104,-122.4333063,Entire home/apt,116,313,3,118
45956,Western Addition,37.7724811,-122.4301613,Private room,125,55,2,77
47486,Ocean View,37.72535732,-122.4686106,Entire home/apt,78,,30,28
47682,Pacific Heights,37.79250377,-122.4243122,Entire home/apt,120,,30,25
51073,South of Market,37.77116329,-122.4219948,Private room,180,,2,149
51557,Western Addition,37.7712146,-122.428339,Entire home/apt,119,,30,104
51773,Pacific Heights,37.79311697,-122.4259984,Private room,55,8,30,158
52713,Nob Hill,37.79666781,-122.4127171,Private room,99,201,30,166
53280,Bernal Heights,37.73877674,-122.4118949,Private room,90,,3,122
53934,Downtown/Civic Center,37.78775469,-122.4163436,Entire home/apt,163,,30,231
54518,Financial District,37.79330087,-122.4007941,Entire home/apt,200,,30,17
54634,Pacific Heights,37.79166446,-122.4264979,Entire home/apt,115,9,30,37
55632,Outer Richmond,37.77959493,-122.4861875,Entire home/apt,110,,30,10
55636,Twin Peaks,37.74889402,-122.4447857,Entire home/apt,106,,30,26
56621,Pacific Heights,37.79215669,-122.4245818,Private room,55,11,30,120
57479,Haight Ashbury,37.77459468,-122.4392288,Entire home/apt,200,28,31,152
57561,Bernal Heights,37.74720292,-122.4144302,Entire home/apt,175,4,30,212
57676,Mission,37.75762489,-122.4193257,Private room,99,15,2,107
59344,Noe Valley,37.74565481,-122.4286438,Entire home/apt,135,164,2,289
59381,Russian Hill,37.8031015,-122.4159579,Private room,109,292,2,215
59702,Bernal Heights,37.74208535,-122.414088,Private room,150,26,2,182
59831,Outer Sunset,37.75673543,-122.4917779,Private room,100,,60,1
60659,North Beach,37.80240771,-122.4092535,Private room,135,351,2,188
62519,Glen Park,37.74182583,-122.4299312,Private room,85,334,3,35
62651,Mission,37.762455,-122.4243211,Entire home/apt,1100,6,3,52
63247,Mission,37.74925779,-122.4139752,Entire home/apt,166,19,2,282
63405,Mission,37.75399609,-122.4177063,Entire home/apt,125,30,2,205
64165,Marina,37.80317361,-122.4287407,Private room,90,,30,64
66119,Inner Richmond,37.77797943,-122.4781239,Entire home/apt,95,1,30,96
66188,Outer Richmond,37.77718605,-122.5090602,Entire home/apt,216,0,30,12
68239,Mission,37.75425726,-122.4238661,Entire home/apt,326,119,31,35
69410,Inner Richmond,37.77441984,-122.4631894,Entire home/apt,80,,30,50
69549,Excelsior,37.73026802,-122.4264432,Private room,46,84,30,39
69553,Excelsior,37.73128161,-122.424784,Private room,40,0,30,26
69681,Seacliff,37.77706907,-122.5092319,Entire home/apt,170,30,30,7
70139,Bernal Heights,37.74527429,-122.4242403,Entire home/apt,108,,31,10
70284,Chinatown,37.79363898,-122.4063472,Shared room,30,,30,12
70753,Financial District,37.79446982,-122.4045049,Shared room,45,321,1,340
71645,Bernal Heights,37.74577519,-122.408412,Private room,109,224,3,104
71779,Inner Richmond,37.77624827,-122.4646569,Entire home/apt,80,,30,2
72365,Western Addition,37.77518125,-122.4333409,Entire home/apt,100,279,30,64
72444,Financial District,37.79308771,-122.4044315,Shared room,38,330,1,342
72921,Western Addition,37.77587983,-122.431431,Entire home/apt,95,,30,49
73011,South of Market,37.7702573,-122.4185467,Entire home/apt,270,,30,30
